open,high,low,close,volume,amount,position,bob,eob
3125.99,3134.957,3092.978,3092.978,26575342300,293721061621.0,0,2023-08-21 00:00:00+08:00,2023-08-21 00:00:00+08:00
3103.781,3126.784,3074.531,3120.334,30931633500,348637687606.8,0,2023-08-22 00:00:00+08:00,2023-08-22 00:00:00+08:00
3116.266,3116.376,3077.606,3078.402,27224412400,297986364377.0,0,2023-08-23 00:00:00+08:00,2023-08-23 00:00:00+08:00
3085.911,3106.182,3072.951,3082.244,30002463700,332447831261.6,0,2023-08-24 00:00:00+08:00,2023-08-24 00:00:00+08:00
3068.615,3085.047,3053.037,3064.075,29334768600,317757173399.7,0,2023-08-25 00:00:00+08:00,2023-08-25 00:00:00+08:00
3219.043,3219.043,3089.119,3098.636,48560776400,517234120908.6,0,2023-08-28 00:00:00+08:00,2023-08-28 00:00:00+08:00
3091.938,3145.761,3090.438,3135.887,39887578000,443979436975.1,0,2023-08-29 00:00:00+08:00,2023-08-29 00:00:00+08:00
3144.407,3153.689,3126.902,3137.137,34751186700,414729469599.3,0,2023-08-30 00:00:00+08:00,2023-08-30 00:00:00+08:00
3134.553,3139.98,3113.946,3119.876,31344824200,362507128776.7,0,2023-08-31 00:00:00+08:00,2023-08-31 00:00:00+08:00
3126.023,3143.846,3123.19,3133.247,29231099200,334739632924.7,0,2023-09-01 00:00:00+08:00,2023-09-01 00:00:00+08:00
3145.944,3177.06,3143.379,3177.06,36639114000,404500273017.5,0,2023-09-04 00:00:00+08:00,2023-09-04 00:00:00+08:00
3169.738,3169.738,3150.075,3154.369,29406184900,342760613428.0,0,2023-09-05 00:00:00+08:00,2023-09-05 00:00:00+08:00
3147.136,3162.155,3136.9,3158.077,26700223000,324001129693.3,0,2023-09-06 00:00:00+08:00,2023-09-06 00:00:00+08:00
3152.203,3152.266,3120.823,3122.352,26926473300,317186963334.0,0,2023-09-07 00:00:00+08:00,2023-09-07 00:00:00+08:00
3114.229,3126.041,3104.674,3116.719,22812506400,270006714934.3,0,2023-09-08 00:00:00+08:00,2023-09-08 00:00:00+08:00
3119.61,3155.103,3113.816,3142.779,29044291700,351883735976.6,0,2023-09-11 00:00:00+08:00,2023-09-11 00:00:00+08:00
3140.341,3147.514,3134.318,3137.059,23467205100,281897501760.6,0,2023-09-12 00:00:00+08:00,2023-09-12 00:00:00+08:00
3137.772,3143.758,3106.969,3123.067,24970103800,282015557210.7,0,2023-09-13 00:00:00+08:00,2023-09-13 00:00:00+08:00
3124.848,3135.025,3111.859,3126.551,26399013800,281641855533.1,0,2023-09-14 00:00:00+08:00,2023-09-14 00:00:00+08:00
3133.588,3141.964,3107.448,3117.743,29202636500,326091455871.6,0,2023-09-15 00:00:00+08:00,2023-09-15 00:00:00+08:00
3110.44,3128.701,3098.496,3125.932,25944425700,299644725427.4,0,2023-09-18 00:00:00+08:00,2023-09-18 00:00:00+08:00
3123.986,3131.13,3113.525,3124.957,25365276100,274062664356.7,0,2023-09-19 00:00:00+08:00,2023-09-19 00:00:00+08:00
3118.667,3122.128,3108.158,3108.568,22812446200,243019998657.4,0,2023-09-20 00:00:00+08:00,2023-09-20 00:00:00+08:00
3103.175,3113.494,3084.701,3084.701,22865910000,243536277536.6,0,2023-09-21 00:00:00+08:00,2023-09-21 00:00:00+08:00
3084.757,3132.558,3078.801,3132.432,28597835100,321443778943.2,0,2023-09-22 00:00:00+08:00,2023-09-22 00:00:00+08:00
3131.208,3131.208,3112.15,3115.607,25807188500,294635829637.9,0,2023-09-25 00:00:00+08:00,2023-09-25 00:00:00+08:00
3114.021,3120.289,3102.273,3102.273,22264431300,270006131018.9,0,2023-09-26 00:00:00+08:00,2023-09-26 00:00:00+08:00
3104.04,3125.447,3103.844,3107.316,24049583000,293421022407.0,0,2023-09-27 00:00:00+08:00,2023-09-27 00:00:00+08:00
3117.755,3121.835,3105.94,3110.475,23632998100,288396222754.4,0,2023-09-28 00:00:00+08:00,2023-09-28 00:00:00+08:00
3100.0,3103.36,3072.642,3096.922,26442220500,302662162124.0,0,2023-10-09 00:00:00+08:00,2023-10-09 00:00:00+08:00
3104.365,3109.982,3073.186,3075.236,25532737900,293653291716.5,0,2023-10-10 00:00:00+08:00,2023-10-10 00:00:00+08:00
3085.699,3095.659,3071.936,3078.956,25991869200,326562386170.6,0,2023-10-11 00:00:00+08:00,2023-10-11 00:00:00+08:00
3101.705,3109.99,3092.177,3107.901,27482799800,325865894368.3,0,2023-10-12 00:00:00+08:00,2023-10-12 00:00:00+08:00
3091.997,3094.915,3080.548,3088.099,25508523500,309538085324.9,0,2023-10-13 00:00:00+08:00,2023-10-13 00:00:00+08:00
3091.065,3091.126,3063.686,3073.813,26388236300,314394203029.7,0,2023-10-16 00:00:00+08:00,2023-10-16 00:00:00+08:00
3076.428,3084.073,3064.89,3083.496,25901958800,300026228452.2,0,2023-10-17 00:00:00+08:00,2023-10-17 00:00:00+08:00
3076.58,3076.58,3057.059,3058.71,26864715500,310306035777.2,0,2023-10-18 00:00:00+08:00,2023-10-18 00:00:00+08:00
3043.196,3043.196,3004.774,3005.393,30403891000,355069176976.4,0,2023-10-19 00:00:00+08:00,2023-10-19 00:00:00+08:00
2995.357,3006.275,2977.173,2983.059,26711359400,307388393327.2,0,2023-10-20 00:00:00+08:00,2023-10-20 00:00:00+08:00
2969.786,2973.661,2923.511,2939.291,27890412800,304028962456.0,0,2023-10-23 00:00:00+08:00,2023-10-23 00:00:00+08:00
2944.311,2964.76,2929.088,2962.244,31098538900,339902176877.6,0,2023-10-24 00:00:00+08:00,2023-10-24 00:00:00+08:00
2986.406,2993.295,2972.418,2974.114,33239200400,362846635549.2,0,2023-10-25 00:00:00+08:00,2023-10-25 00:00:00+08:00
2960.104,2990.328,2956.006,2988.299,29181451100,332258828044.6,0,2023-10-26 00:00:00+08:00,2023-10-26 00:00:00+08:00
2978.403,3029.21,2974.88,3017.784,32180371700,385692318100.3,0,2023-10-27 00:00:00+08:00,2023-10-27 00:00:00+08:00
3009.61,3028.264,3002.348,3021.553,36060423800,439587974769.6,0,2023-10-30 00:00:00+08:00,2023-10-30 00:00:00+08:00
3019.646,3023.001,3006.609,3018.771,31985996700,386277226427.2,0,2023-10-31 00:00:00+08:00,2023-10-31 00:00:00+08:00
3038.182,3038.33,3013.933,3023.076,28011044500,347121456482.9,0,2023-11-01 00:00:00+08:00,2023-11-01 00:00:00+08:00
3028.665,3038.642,3009.121,3009.406,26879458100,311936400777.8,0,2023-11-02 00:00:00+08:00,2023-11-02 00:00:00+08:00
3012.465,3040.981,3012.465,3030.798,26848634700,329300477500.6,0,2023-11-03 00:00:00+08:00,2023-11-03 00:00:00+08:00
