order_id,update_type,status,latency_ms
concurrent_client_4_order_5,NEW,NEW,71.14386558532715
concurrent_client_4_order_5,TRADE,FILLED,71.17104530334473
concurrent_client_4_order_5,FILLED,FILLED,71.1977481842041
concurrent_client_4_order_6,NEW,NEW,60.19091606140137
concurrent_client_4_order_6,TRADE,FILLED,60.217857360839844
concurrent_client_4_order_6,FILLED,FILLED,60.24575233459473
concurrent_client_4_order_7,NEW,NEW,48.77209663391113
concurrent_client_4_order_7,TRADE,FILLED,48.799991607666016
concurrent_client_4_order_7,FILLED,FILLED,48.82693290710449
concurrent_client_4_order_8,NEW,NEW,37.763118743896484
concurrent_client_4_order_8,TRADE,FILLED,37.79411315917969
concurrent_client_4_order_8,FILLED,FILLED,37.82391548156738
concurrent_client_4_order_9,NEW,NEW,25.44999122619629
concurrent_client_4_order_9,TRADE,FILLED,25.484085083007812
concurrent_client_4_order_9,FILLED,FILLED,25.5129337310791
